id,question_text,difficulty,average_time,accuracy_rate
108,"Prog e Cackto começaram recentemente a jogar um jogo de RPG chamado Fortaleza. Neste, para o jogador evoluir de nível o mesmo precisa derrotar monstros, nos quais dá um valor de experiência (XP) para o jogador. A produtora do jogo, Jogos Extremos, anunciou que na próxima semana irá realizar o primeiro evento XP no qual aumentará a experiência dos monstros em X vezes. Como Prog e Cackto estão em um nível muito alto no qual os monstros têm um valor muito alto de pontos de experiência, eles estão tendo dificuldades de calcular a quantidade de pontos de experiência que os monstros terão durante o evento. Você pode ajudá-los?",easy,30,95%
109,"Em 2012 foi alcançado um novo recorde mundial na famosa Competição de Cachorros-Quentes do Nathan: o campeão, Joey Chestnut, devorou 68 cachorros-quentes em dez minutos, um aumento incrível em relação aos 62 sanduíches devorados pelo mesmo Chestnut em 2011. O restaurante Nathan’s Famous Corporation, localizado no Brooklyn, NY, é o responsável pela competição. Eles produzem deliciosos cachorros-quentes, mundialmente famosos, mas quando o assunto é matemática eles não são tão bons. Eles desejam ser listados no Livro de Recordes do Guinness, mas para isso devem preencher um formulário descrevendo os fatos básicos da competição. Em particular, eles devem informar o número médio de cachorros-quentes consumidos pelos participantes durante a competição. Você pode ajudá-los? Eles prometeram pagá-lo com um dos seus saborosos cachorros-quentes. Dados o número total de cachorros-quentes consumidos e o número total de participantes na competição, você deve escrever um programa para determinar o número médio de cachorros-quentes consumidos pelos participantes.",easy,30,95%
110,"Imagine que você tenha uma máquina do tempo que pode ser usada no máximo três vezes, e a cada uso da máquina você pode escolher voltar para o passado ou ir para o futuro. A máquina possui três créditos fixos; cada crédito representa uma certa quantidade de anos, e pode ser usado para ir essa quantidade de anos para o passado ou para o futuro. Você pode fazer uma, duas ou três viagens, e cada um desses três créditos pode ser usado uma vez apenas. Por exemplo, se os créditos forem 5, 12 e 9, você poderia decidir fazer duas viagens: ir 5 anos para o futuro e, depois, voltar 9 anos para o passado. Dessa forma, você terminaria quatro anos no passado, em 2012. Também poderia fazer três viagens, todas indo para o futuro, usando os créditos em qualquer ordem, terminando em 2042. Neste problema, dados os valores dos três créditos da máquina, seu programa deve dizer se é ou não possível viajar no tempo e voltar para o presente, fazendo pelo menos uma viagem e, no máximo, três viagens; sempre usando cada um dos três créditos no máximo uma vez.",hard,90,88%
111,"Um treinador de voleibol gostaria de manter estatísticas sobre sua equipe. A cada jogo, seu auxiliar anota quantas tentativas de saques, bloqueios e ataques cada um de seus jogadores fez, bem como quantos desses saques, bloqueios e ataques tiveram sucesso (resultaram em pontos). Seu programa deve mostrar qual o percentual de saques, bloqueios e ataques do time todo tiveram sucesso.",medium,60,92%
112,"Em uma determinada competição de saltos ornamentais, cada salto recebe um grau de dificuldade e é avaliado por sete juízes. Após cada salto, os juízes, que não se comunicam uns com os outros, mostram suas notas. Um salto é cotado entre zero e dez pontos. Depois de apresentadas as notas, a mais alta e a mais baixa são descartadas. O restante é somado e multiplicado pelo grau de dificuldade do salto, que gira entre 1,2 e 3,8, definido sempre antes do início da apresentação do atleta. O julgamento então é feito da seguinte forma: supondo que um saltador tenha sua nota de partida (seu grau de dificuldade de movimento) avaliada em 2,0 e tire notas 6,0, 5,0, 5,0, 5,0, 5,0, 5,0, 4,0 em sua execução. Disso, retira-se a nota mais baixa e a mais alta, o que gera um resultado parcial de 25,0. Então, pega-se a nota de execução e multiplica-a pela nota de partida para se chegar ao resultado final, que neste exemplo é de 50,0. Seu programa deve apresentar o resultado de uma competição de acordo com estas regras.",medium,90,92%
113,"Dados três valores, verifique se os três podem formar um triângulo. Em caso afirmativo, verifique se ele é escaleno, isóceles ou equilátero e se trata-se de um triângulo retângulo ou não.",medium,60,90%
114,"Você fica tão feliz no Natal que tem vontade de gritar para todo mundo: “Feliz Natal!!”. Pra colocar toda essa felicidade pra fora, você montou um programa que, colocado um índice I de felicidade, seu grito de Natal é mais animado.",easy,30,95
115,"Samu Elmito adora criar jogos peculiares para desafiar seus amigos. Desta vez, ele inventou um jogo chamado “Jogo do Operador”, em que ele cria expressões básicas e cada jogador deve escolher uma expressão e preencher a lacuna com o operador correto para validá-la. Os jogadores poderão escolher operadores de somente três tipos: adição, subtração e multiplicação. Porém, se o jogador achar que não há operador entre os três tipos que valide a expressão, poderá responder Impossível. Sua tarefa é simples: dadas as expressões e as respostas dos jogadores, determinar os jogadores que não passarão para a outra fase do jogo.",medium,90,88%
116,"Ao voltar de um intenso jogo de RPG na casa de um amigo, o jovem Will desapareceu misteriosamente! Todos estão desesperadamente procurando por ele por todos os cantos. Enquanto isso, coisas estranhas estão acontecendo em sua casa. Uma delas, entretanto, lhe permite comunicar-se com o garoto! Há exatamente 26 lâmpadas penduradas na parede da sua sala, numeradas de 1 a 26 da esquerda para a direita. Além disso, há uma letra do alfabeto pintada na parede em baixo de cada lâmpada. Quando Will quer lhe enviar uma mensagem, ele irá (misteriosamente) piscar, uma a uma, as lâmpadas correspondentes a cada letra de sua mensagem. Por exemplo, se ele quer enviar a mensagem HELP, ele irá piscar, nesta ordem, as lâmpadas acima das letras H, E, L e P. Dada a letra associada a cada lâmpada e a ordem das lâmpadas que foram piscadas por Will, decifre a mensagem que ele enviou!",medium,60,92%
117,"Todo ano bissexto é realizado o exame geral de matemática da Nlogônia. Todos os cidadãos da nação são avaliados a fim de se estudar o desenvolvimento lógico e matemático do país ao longo dos anos. Após as correções, os cidadãos são ordenadados de acordo com suas notas (quanto maior, melhor) e recebem descontos no imposto de renda de acordo com sua qualificação. O Escritório Central de Estatística (ECE) é encarregado de processar os dados das notas obtidas no exame. Entretanto este ano, Vasya, um dos responsáveis, está internado no hospital com gripe H1N1 e você foi contratado para realizar o seu trabalho. Escreva um programa que dado o número de habitantes da Nlogônia e todas as notas obtidas, responda as consultas para retornar a nota do cidadão que ficou em determinada posição.",medium,90,90%
118,"Analógimôn Go! é um jogo bastante popular. Os jogadores de Analógimôn Go! são divididos em três grandes times: Time Valor, Time Instinto e Time Místico, que são liderados pelos seus líderes Kandera, Esparky e Blanque, respectivamente. Naturalmente, você faz parte de um desses times! O líder do seu time está sendo acusado de infringir as regras do jogo por gerenciar incorretamente os doces recebidos do Professor que são destinados ao time. Isto criou uma grande polêmica dentro da equipe: alguns jogadores defendem que o líder realmente agiu incorretamente e deve sofrer um impeachment e ser afastado de seu cargo, enquanto outros defendem que ele não infringiu as regras, que a acusação é inverídica e que ele deve continuar no cargo. Para resolver a situação, uma votação será realizada entre todos os N jogadores do seu time. Cada jogador deverá votar se o impeachment deve ou não ocorrer. Se o número de votos favoráveis ao impeachment foi maior ou igual a 2/3 (dois terços) do total de jogadores, o líder será afastado. Caso contrário, a acusação é arquivada e ele continuará no cargo.",medium,60,92%
119,"Iu-di-oh! é um jogo de cartas que virou uma verdadeira febre entre os jovens! Todo jogador de Iu-di-oh! tem seu próprio baralho, contendo várias cartas do jogo. Cada carta contém N atributos (como força, velocidade, inteligência, etc.). Os atributos são numerados de 1 a N e são dados por inteiros positivos. Uma partida de Iu-di-oh! é sempre jogada por dois jogadores. Ao iniciar a partida, cada jogador escolhe exatamente uma carta de seu baralho. Após as escolhas, um atributo é sorteado. Vence o jogador cujo atributo sorteado em sua carta escolhida é maior que na carta escolhida pelo adversário. Caso os atributos sejam iguais, a partida empata. Marcos e Leonardo estão na grande final do campeonato brasileiro de Iu-di-oh!, cujo prêmio é um Dainavision (que é quase um Plaisteition 2!). Dados os baralhos de ambos, a carta escolhida por cada um e o atributo sorteado, determine o vencedor!",medium,90,90%
120,"Assim como a maioria dos estudantes de computação, você vive jogando os jogos eletrônicos mais populares atualmente: Liga of Legendas (LOL) e Contra-Strike (CS). Embora você também jogue LOL, você gosta mais é de usar todas suas grandes habilidades para derrotar a equipe terrorista em Contra-Strike! Você é tão empenhado no combate ao terror que é frequentemente comparado com o presidente dos EUA que anunciou a captura e derrota de um grande terrorista da vida real. Por ser bastante habilidoso, os vídeos de suas jogadas (seus famosos gameplays) vivem aparecendo na Jogatina UFPR, uma página na internet que publica gameplays de alunos da universidade. A página publica muitos vídeos diariamente. Por isso, pode ser dificil encontrar e contar todos os seus vídeos na página. Entretanto, como você também é programador, você decidiu escrever um programa para auxiliá-lo nesta tarefa. Dada a lista de gameplays publicados na página, determine quantos gameplays seus de Contra-Strike foram publicados.",easy,30,95%
121,"O Kage Bunshin no Jutsu (ou a “técnica dos clones de sombra”, para os lusofalantes) é uma técnica milenar bastante utilizada em batalhas ninja. Quando utilizada, a técnica cria uma cópia idêntica de seu usuário. Desta forma, se um dado ninja usa a técnica, passam a existir dois destes ninjas (o original e a cópia). A técnica sempre é executada por todos os ninjas existentes no momento. Desta forma, se a técnica for utilizada novamente, passam a existir quatro ninjas idênticos ao original (os dois anteriores e mais duas cópias), e assim por diante. Há N cópias de um dado ninja (incluindo o original). Sua tarefa é determinar quantas vezes a técnica foi utilizada.",medium,30,95%
122,"Todos os habitantes da Nlogônia estão super animados com a abertura do Ricardo Barreiro World, o mais novo parque de diversões do país. Na TV e no rádio só passam propagandas da montanha-russa do parque, a mais rápida do continente. É nela que todos, de crianças a idosos querem andar. Infelizmente foram impostas algumas restrições no momento da homologação do brinquedo pelo governo. Por questões de segurança, há uma altura mínima e uma altura máxima que as pessoam devem ter para poder passear na montanha-russa. Para o dia da inauguração do parque, todos os convidados realizaram um pré-cadastro no qual indicaram sua altura. Para reduzir filas e otimizar a operação do parque no primeiro dia, você foi contratado para fazer um programa que dado o número de visitantes, altura mínima, altura máxima e as alturas de todos os visitantes, calcule quantas pessoas poderão andar na montanha-russa.",easy,30,95%
123,"A grande Maratona de Rua de Curitiba irá ocorrer nos próximos dias! Vários atletas estão treinando há dias para o grande dia da corrida. Flávio é um dos atletas que está treinando diariamente para se sair bem na corrida. Ele tem corrido todas as manhãs nas pistas próximas de sua casa. Os treinos do garoto são monitorados por um aplicativo em seu celular. Após cada treino, Flávio sabe tanto a duração do treino quanto a distância total percorrida. Com essas informações, ele consegue determinar a velocidade média obtida em cada treino. Flávio está muito preocupado com a evolução de seu desempenho nos treinos, e em particular com seu recorde de velocidade média. Tal recorde é batido em um dado treino quando a velocidade média para este treino é maior que todas as velocidades médias obtidas nos treinos anteriores. Ajude Flávio a determinar em quais treinos ele conseguiu bater seu recorde.",medium,60,90%
124,"Toorg é o integrante mais sábio do grupo de heróis denominado Os Protetores da Via Láctea. Para qualquer pergunta, ele tem a resposta ideal! Escreva um programa que, dada uma pergunta, informe a resposta de Toorg.",easy,30,95%
125,"Dodô, Leo e Pepper jogam “pedra, papel e tesoura” para decidir o assunto da sessão de hoje. Dadas as jogadas de Dodô, Leo e Pepper, nesta ordem, determine o assunto da sessão.",medium,60,90%
126,"Dadas as componentes RGB de um pixel da imagem colorida, determine o valor do pixel P da imagem em tons de cinza correspondente, baseada no método especificado (ponderada, média, maior ou menor). Despreze a parte decimal do resultado, caso exista.",medium,60,92%
127,"Lucas está construindo um navegador com uma funcionalidade de autocompletar. Dadas palavras já pesquisadas e uma série de consultas, determine quantas palavras possuem o prefixo fornecido em cada consulta e o comprimento da maior dessas palavras.",hard,120,88%
128,"No jogo O Bruxo, Sigismund Dijkstra é o líder do Serviço Secreto Redaniano e possui um grande tesouro com diversos tipos de jóias. Dijkstra quer saber quantos tipos de jóias diferentes existem em seu tesouro.",easy,30,95%
129,"Em diversas competições acadêmicas, uma certa quantidade de competidores se classifica para a próxima fase, mas devido a empates na última vaga, a quantidade pode variar. Dada uma lista de pontuações e o número mínimo de classificados, calcule o total de competidores que avançam para a próxima fase.",medium,60,92%
130,"No prédio da Sociedade Brasileira de Computação (SBC) de 3 andares, os funcionários precisam de uma máquina de café posicionada para minimizar o tempo total gasto subindo e descendo escadas. Cada funcionário consome 1 café por dia e leva 1 minuto por andar para se deslocar. Dada a quantidade de funcionários por andar, determine o melhor andar para instalar a máquina.",medium,60,92%
131,"Júlio está desenvolvendo um Smart Watch para programadores. Dada a inclinação do Sol/Lua em graus (0 a 360), determine o período do dia correspondente: madrugada, manhã, tarde ou noite.",easy,30,95%
132,"Dado o grau de inclinação do Sol/Lua (0 a 360), converta o grau para o formato HH:MM:SS (24 horas). Além disso, informe a saudação correspondente ao período do dia (madrugada, manhã, tarde ou noite).",medium,60,90%
133,"Dada a quantidade de refeições disponíveis para cada escolha (frango, bife, massa) e a quantidade pedida para cada escolha, determine quantos passageiros não poderão ser atendidos.",easy,30,95%
134,"Desenvolva um programa que receba como entrada se um jipe está entrando ou voltando do parque e a quantidade de turistas que este veículo está transportando. Ao final do turno, o programa deve indicar a quantidade de veículos e de turistas que ainda faltam regressar da aventura.",medium,90,93%
135,Robbie e Glória brincam com moedas em um jogo em que Glória escolhe um salto N para somar valores específicos das moedas de Robbie. Verifique se o resultado da soma é primo e determine se Robbie deve fazer a vontade de Glória.,hard,120,85%
136,"Dado o último dígito de uma placa de veículo, determine o dia da semana em que esse veículo está restrito à circulação na cidade de São Paulo, de acordo com o rodízio municipal.",easy,30,98%
137,"Dado um conjunto de trabalhos com graus de dificuldade, determine a diferença mínima entre os trabalhos feitos por Rangel (que faz os primeiros i trabalhos) e por Gugu (que faz o restante). A ordem dos trabalhos não pode ser alterada.",hard,120,85%
138,"Dado o tempo restante no expediente N e os tempos necessários para fabricar dois presentes, determine se o duende consegue fabricar os dois presentes ainda hoje ou deve deixá-los para amanhã.",easy,30,95%
139,"Giovanna tem um pisca-pisca quebrado dividido em grupos de 50 lâmpadas. As lâmpadas queimadas são representadas por 1’s e as funcionais por 0’s. Dada a representação decimal de um grupo, determine a maior quantidade de lâmpadas consecutivas queimadas.",medium,60,90%
140,"As renas decidiram distribuir bolas de neve de forma cíclica entre elas. Dado o número de bolas de neve feitas por cada rena, determine qual delas ficará com a última bola e será a líder do trenó.",easy,30,95%
141,"Dada uma fórmula atômica, determine se o composto é perigoso ou seguro com base nas proporções e ordem dos elementos químicos na fórmula. Um composto perigoso segue exatamente as proporções e ordem estabelecidas.",medium,90,88%
142,"Escreva um programa que leia três números inteiros A, B, e C com restrições específicas. Formate a saída em diferentes alinhamentos e preenchimentos.",medium,90,92%
143,"Leia dois números de precisão simples e dois de precisão dupla com formatos específicos e imprima em diferentes formatos (precisão, notação científica, e apenas a parte inteira).",hard,120,85%
144,Leia um número no formato XXXXX.YYY e imprima na forma invertida como YYY.XXXXX.,easy,30,98%
145,"Leia os dados de um CPF no formato XXX.YYY.ZZZ-DD e imprima os quatro números, sendo um valor por linha.",easy,60,98%
146,"Leia uma data no formato DD/MM/AA, imprima a data no formato MM/DD/AA, depois no formato AA/MM/DD e, por fim, no formato DD-MM-AA.",easy,120,99%
147,Leia uma frase com uma vírgula no meio e imprima a primeira parte antes da vírgula e a segunda parte após a vírgula.,easy,60,99%
148,"Leia 10 nomes (sem espaços em branco) e imprima o terceiro, o sétimo e o nono nome da lista.",easy,60,98%
149,"Uma indústria de equipamentos musicais permite que os clientes criem seus próprios pedais de efeitos para guitarra. Para produzir os pedais, o circuito gerado pelo cliente precisa caber na placa de circuito impresso (PCI) disponível na fábrica. Dadas as dimensões do circuito enviado pelo cliente e as dimensões da placa disponível, determine se é possível fabricar o pedal utilizando a placa existente.",medium,120,95%
150,"Em anos de Copa do Mundo, o álbum de figurinhas é um grande sucesso entre crianças e adultos. O álbum contém espaços numerados de 1 a N e cada figurinha também é numerada de 1 a N. O objetivo é completar o álbum, colando as figurinhas nos respectivos espaços. As figurinhas são vendidas em envelopes fechados, sem saber quais figurinhas virão, e é possível comprar repetidas. Sua tarefa é calcular quantas figurinhas faltam para completar o álbum, dado o número total de figurinhas e uma lista de figurinhas já compradas (que pode ter repetições).",medium,120,85%
151,"Dizemos que uma sequência de números é uma escadinha, se a diferença entre números consecutivos é sempre a mesma. Por exemplo, “2, 3, 4, 5” e “10, 7, 4” são escadinhas. Note que qualquer sequência com apenas um ou dois números também é uma escadinha! Neste problema estamos procurando escadinhas em uma sequência maior de números. Dada uma sequência de números, queremos determinar quantas escadinhas existem. Mas só estamos interessados em escadinhas tão longas quanto possível. Por isso, se uma escadinha é um pedaço de outra, consideramos somente a maior. Por exemplo, na sequência “1, 1, 1, 3, 5, 4, 8, 12” temos 4 escadinhas diferentes: “1, 1, 1”, “1, 3, 5”, “5, 4” e “4, 8, 12”.",medium,120,85%
